DMS_filename,DMS_id,selection_type,coarse_selection_type,mutation_type
B1LPA6_ECOSM_Russ_2020_indels.csv,B1LPA6_ECOSM_Russ_2020_indels,enzyme activity,Activity,indels
PTEN_HUMAN_Mighell_2018_indels.csv,PTEN_HUMAN_Mighell_2018_indels,lipid phosphatase activity,Activity,indels
S22A1_HUMAN_Yee_2023_activity_indels.csv,S22A1_HUMAN_Yee_2023_activity_indels,Growth,Activity,indels
A0A1I9GEU1_NEIME_Kennouche_2019.csv,A0A1I9GEU1_NEIME_Kennouche_2019,,Activity,substitutions
A0A247D711_LISMN_Stadelmann_2021.csv,A0A247D711_LISMN_Stadelmann_2021,Flow cytometry,Activity,substitutions
ADRB2_HUMAN_Jones_2020.csv,ADRB2_HUMAN_Jones_2020,Receptor activity,Activity,substitutions
AICDA_HUMAN_Gajula_2014_3cycles.csv,AICDA_HUMAN_Gajula_2014_3cycles,bulk RNA-sequencing,Activity,substitutions
AMIE_PSEAE_Wrenbeck_2017.csv,AMIE_PSEAE_Wrenbeck_2017,Growth,Activity,substitutions
ANCSZ_Hobbs_2022.csv,ANCSZ_Hobbs_2022,enzymatic activity,Activity,substitutions
CAS9_STRP1_Spencer_2017_positive.csv,CAS9_STRP1_Spencer_2017_positive,Flow cytometry,Activity,substitutions
CASP3_HUMAN_Roychowdhury_2020.csv,CASP3_HUMAN_Roychowdhury_2020,,Activity,substitutions
CASP7_HUMAN_Roychowdhury_2020.csv,CASP7_HUMAN_Roychowdhury_2020,,Activity,substitutions
CCDB_ECOLI_Adkar_2012.csv,CCDB_ECOLI_Adkar_2012,toxin activity,Activity,substitutions
D7PM05_CLYGR_Somermeyer_2022.csv,D7PM05_CLYGR_Somermeyer_2022,FACS,Activity,substitutions
ENVZ_ECOLI_Ghose_2023.csv,ENVZ_ECOLI_Ghose_2023,FACS,Activity,substitutions
GFP_AEQVI_Sarkisyan_2016.csv,GFP_AEQVI_Sarkisyan_2016,FACS,Activity,substitutions
HEM3_HUMAN_Loggerenberg_2023.csv,HEM3_HUMAN_Loggerenberg_2023,Yeast complementation,Activity,substitutions
KCNE1_HUMAN_Muhammad_2023_function.csv,KCNE1_HUMAN_Muhammad_2023_function,Growth,Activity,substitutions
KCNH2_HUMAN_Kozek_2020.csv,KCNH2_HUMAN_Kozek_2020,Voltage,Activity,substitutions
KCNJ2_MOUSE_Coyote-Maestas_2022_function.csv,KCNJ2_MOUSE_Coyote-Maestas_2022_function,FACS,Activity,substitutions
LGK_LIPST_Klesmith_2015.csv,LGK_LIPST_Klesmith_2015,Growth,Activity,substitutions
MET_HUMAN_Estevam_2023.csv,MET_HUMAN_Estevam_2023,Growth,Activity,substitutions
NPC1_HUMAN_Erwood_2022_HEK293T.csv,NPC1_HUMAN_Erwood_2022_HEK293T,Flow Cytometry Assay,Activity,substitutions
NPC1_HUMAN_Erwood_2022_RPE1.csv,NPC1_HUMAN_Erwood_2022_RPE1,Flow Cytometry Assay,Activity,substitutions
OTC_HUMAN_Lo_2023.csv,OTC_HUMAN_Lo_2023,,Activity,substitutions
OXDA_RHOTO_Vanella_2023_activity.csv,OXDA_RHOTO_Vanella_2023_activity,FACS,Activity,substitutions
PAI1_HUMAN_Huttinger_2021.csv,PAI1_HUMAN_Huttinger_2021,phage fitness,Activity,substitutions
PHOT_CHLRE_Chen_2023.csv,PHOT_CHLRE_Chen_2023,FACS,Activity,substitutions
PPARG_HUMAN_Majithia_2016.csv,PPARG_HUMAN_Majithia_2016,FACS,Activity,substitutions
PTEN_HUMAN_Mighell_2018.csv,PTEN_HUMAN_Mighell_2018,lipid phosphatase activity,Activity,substitutions
Q59976_STRSQ_Romero_2015.csv,Q59976_STRSQ_Romero_2015,Activity,Activity,substitutions
Q6WV12_9MAXI_Somermeyer_2022.csv,Q6WV12_9MAXI_Somermeyer_2022,FACS,Activity,substitutions
Q837P4_ENTFA_Meier_2023.csv,Q837P4_ENTFA_Meier_2023,Growth,Activity,substitutions
Q837P5_ENTFA_Meier_2023.csv,Q837P5_ENTFA_Meier_2023,Growth,Activity,substitutions
Q8WTC7_9CNID_Somermeyer_2022.csv,Q8WTC7_9CNID_Somermeyer_2022,FACS,Activity,substitutions
RASH_HUMAN_Bandaru_2017.csv,RASH_HUMAN_Bandaru_2017,activity,Activity,substitutions
RL40A_YEAST_Roscoe_2014.csv,RL40A_YEAST_Roscoe_2014,Binding,Activity,substitutions
RNC_ECOLI_Weeks_2023.csv,RNC_ECOLI_Weeks_2023,FACS,Activity,substitutions
RPC1_LAMBD_Li_2019_high-expression.csv,RPC1_LAMBD_Li_2019_high-expression,FACS,Activity,substitutions
RPC1_LAMBD_Li_2019_low-expression.csv,RPC1_LAMBD_Li_2019_low-expression,FACS,Activity,substitutions
S22A1_HUMAN_Yee_2023_activity.csv,S22A1_HUMAN_Yee_2023_activity,Growth,Activity,substitutions
SC6A4_HUMAN_Young_2021.csv,SC6A4_HUMAN_Young_2021,Fluorescence,Activity,substitutions
SRC_HUMAN_Ahler_2019.csv,SRC_HUMAN_Ahler_2019,Growth,Activity,substitutions
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM.csv,SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,,Activity,substitutions
UBE4B_MOUSE_Starita_2013.csv,UBE4B_MOUSE_Starita_2013,Auto-ubiquitination,Activity,substitutions
VKOR1_HUMAN_Chiasson_2020_activity.csv,VKOR1_HUMAN_Chiasson_2020_activity,enzymatic activity,Activity,substitutions
